epoch,loss,ppl,accuracy
0, 9.15862, 9495.92153,0.023
1, 9.14787, 9394.42718,8.785
2, 9.13359, 9261.19623,12.015
3, 9.12292, 9162.93511,12.015
4, 9.11515, 9092.02292,12.015
5, 9.10908, 9036.99879,12.015
6, 9.10323, 8984.29956,12.015
7, 9.09492, 8909.92852,14.132
8, 9.08565, 8827.70424,17.412
9, 9.07751, 8756.09896,17.478
10, 9.06968, 8687.83500,17.543
11, 9.06163, 8618.18602,17.573
12, 9.05305, 8544.52315,17.558
13, 9.04378, 8465.74558,17.599
14, 9.03374, 8381.13253,17.604
15, 9.02292, 8290.98415,17.616
16, 9.01130, 8195.17679,17.599
17, 8.99885, 8093.78264,17.565
18, 8.98555, 7986.84967,17.536
19, 8.97144, 7874.94075,17.524
20, 8.95652, 7758.31360,17.421
21, 8.94072, 7636.71852,17.364
22, 8.92415, 7511.21666,17.303
23, 8.90677, 7381.74782,17.243
24, 8.88856, 7248.57987,17.178
25, 8.86959, 7112.34168,17.096
26, 8.84979, 6972.95771,16.964
27, 8.82920, 6830.83523,16.878
28, 8.80781, 6686.25631,16.743
29, 8.78561, 6539.48883,16.629
30, 8.76264, 6390.96012,16.459
31, 8.73884, 6240.62456,16.304
32, 8.71424, 6088.99190,16.174
33, 8.68889, 5936.61513,15.972
34, 8.66269, 5783.06022,15.876
35, 8.63570, 5629.09665,15.716
36, 8.60791, 5474.77468,15.603
37, 8.57927, 5320.20790,15.591
38, 8.54985, 5165.97762,15.569
39, 8.51971, 5012.57714,15.543
40, 8.48869, 4859.48322,15.650
41, 8.45700, 4707.92359,15.750
42, 8.42454, 4557.53020,15.789
43, 8.39134, 4408.72361,15.847
44, 8.35741, 4261.65049,15.939
45, 8.32279, 4116.63183,15.933
46, 8.28747, 3973.77567,15.936
47, 8.25141, 3833.03760,16.007
48, 8.21470, 3694.87875,16.004
49, 8.17732, 3559.30163,16.046
50, 8.13926, 3426.36753,15.967
51, 8.10058, 3296.36315,15.849
