epoch,loss,ppl,accuracy
52, 8.06124, 3169.20383,15.694
53, 8.02134, 3045.25384,15.523
54, 7.98086, 2924.44144,15.251
55, 7.93978, 2806.75481,15.003
56, 7.89820, 2692.42607,14.642
57, 7.85602, 2581.22529,14.365
58, 7.81342, 2473.57983,13.927
59, 7.77035, 2369.30734,13.667
60, 7.72685, 2268.45090,13.351
61, 7.68294, 2170.99438,13.085
62, 7.63860, 2076.84066,12.907
63, 7.59397, 1986.17964,12.725
64, 7.54904, 1898.92472,12.570
65, 7.50389, 1815.09102,12.449
66, 7.45842, 1734.40933,12.371
67, 7.41281, 1657.08159,12.291
68, 7.36703, 1582.92973,12.248
69, 7.32113, 1511.90821,12.228
70, 7.27512, 1443.92609,12.179
71, 7.22907, 1378.94481,12.158
72, 7.18305, 1316.92115,12.120
73, 7.13703, 1257.68487,12.135
74, 7.09118, 1201.32492,12.133
75, 7.04549, 1147.66746,12.140
76, 6.99998, 1096.60720,12.151
77, 6.95467, 1048.03686,12.165
78, 6.90968, 1001.92369,12.167
79, 6.86502, 958.16854,12.225
80, 6.82084, 916.75884,12.262
81, 6.77710, 877.51603,12.351
82, 6.73385, 840.37973,12.485
83, 6.69125, 805.33039,12.634
84, 6.64925, 772.20277,12.955
85, 6.60796, 740.96945,13.287
86, 6.56745, 711.55564,13.806
87, 6.52770, 683.82094,14.363
88, 6.48877, 657.71087,15.043
89, 6.45070, 633.14744,15.934
90, 6.41363, 610.10721,16.547
91, 6.37761, 588.51653,17.109
92, 6.34257, 568.25764,17.704
93, 6.30871, 549.33457,17.965
94, 6.27598, 531.64939,18.197
95, 6.24449, 515.16818,18.355
96, 6.21433, 499.86222,18.444
97, 6.18565, 485.73060,18.484
98, 6.15838, 472.65979,18.556
99, 6.13232, 460.50554,18.591
100, 6.10735, 449.14825,18.630
101, 6.08312, 438.39601,18.661
102, 6.05942, 428.12657,18.700
103, 6.03654, 418.44118,18.716
104, 6.01449, 409.31854,18.729
105, 5.99281, 400.53975,18.737
106, 5.97219, 392.36294,18.739
107, 5.95166, 384.39091,18.746
108, 5.93154, 376.73377,18.744
109, 5.91164, 369.31100,18.749
110, 5.89124, 361.85260,18.754
111, 5.87028, 354.34693,18.774
112, 5.84915, 346.93953,18.901
113, 5.82782, 339.61626,19.115
114, 5.80616, 332.34155,19.591
115, 5.78404, 325.06969,20.040
116, 5.76096, 317.65337,20.611
117, 5.73819, 310.50205,21.404
118, 5.71458, 303.25632,22.359
119, 5.69032, 295.98786,23.252
120, 5.66543, 288.71122,23.928
121, 5.64045, 281.59049,24.400
122, 5.61475, 274.44519,24.592
123, 5.58850, 267.33523,24.698
124, 5.56197, 260.33599,24.784
125, 5.53505, 253.41993,24.918
126, 5.50782, 246.61374,25.303
127, 5.47970, 239.77408,25.983
128, 5.45142, 233.08981,26.846
129, 5.42312, 226.58427,27.663
130, 5.39539, 220.38732,28.244
131, 5.36735, 214.29408,28.595
132, 5.33914, 208.33309,28.859
133, 5.31167, 202.68910,28.980
134, 5.28431, 197.21714,29.048
135, 5.25737, 191.97524,29.133
136, 5.22949, 186.69824,29.191
137, 5.20391, 181.98270,29.204
138, 5.17647, 177.05635,29.284
139, 5.15121, 172.64043,29.339
140, 5.12591, 168.32774,29.452
141, 5.10074, 164.14295,29.577
142, 5.07551, 160.05321,29.766
143, 5.05202, 156.33819,29.927
144, 5.02755, 152.55943,30.111
145, 5.00462, 149.10074,30.304
146, 4.98141, 145.68036,30.522
147, 4.95910, 142.46484,30.770
148, 4.93584, 139.18999,31.113
149, 4.91394, 136.17517,31.354
150, 4.89315, 133.37300,31.576
151, 4.87192, 130.57144,31.881
152, 4.85189, 127.98178,32.223
153, 4.83170, 125.42363,32.557
154, 4.81196, 122.97280,32.956
155, 4.79224, 120.57074,33.352
156, 4.77337, 118.31762,33.769
157, 4.75489, 116.15115,34.309
158, 4.73611, 113.99039,34.757
159, 4.71848, 111.99830,35.164
160, 4.69988, 109.93389,35.492
161, 4.68189, 107.97416,35.792
162, 4.66392, 106.05068,36.053
163, 4.64698, 104.27008,36.315
164, 4.62943, 102.45555,36.547
165, 4.61140, 100.62471,36.842
166, 4.59437, 98.92535,37.061
167, 4.57724, 97.24606,37.332
168, 4.56082, 95.66159,37.525
169, 4.54426, 94.09047,37.727
170, 4.52900, 92.66601,37.963
171, 4.51325, 91.21825,38.124
172, 4.49790, 89.82786,38.374
173, 4.48170, 88.38523,38.558
174, 4.46687, 87.08343,38.727
175, 4.45119, 85.72920,38.963
176, 4.43700, 84.52131,39.145
177, 4.42147, 83.21827,39.341
178, 4.40730, 82.04756,39.507
179, 4.39221, 80.81917,39.719
180, 4.37696, 79.59580,39.934
181, 4.36453, 78.61245,40.088
182, 4.34972, 77.45669,40.286
183, 4.33402, 76.25030,40.551
184, 4.32059, 75.23294,40.829
185, 4.30563, 74.11588,41.056
186, 4.29215, 73.12368,41.306
187, 4.27804, 72.09935,41.565
188, 4.26496, 71.16198,41.770
189, 4.24978, 70.08996,42.068
190, 4.23753, 69.23681,42.231
191, 4.22404, 68.30867,42.432
192, 4.21052, 67.39167,42.696
193, 4.19748, 66.51862,42.858
194, 4.18338, 65.58710,43.117
195, 4.17182, 64.83357,43.329
196, 4.15751, 63.91201,43.552
197, 4.14419, 63.06665,43.809
198, 4.13124, 62.25521,44.059
199, 4.11969, 61.54034,44.203
200, 4.10560, 60.67909,44.468
201, 4.09382, 59.96837,44.675
202, 4.08020, 59.15726,44.921
203, 4.06810, 58.44574,45.179
204, 4.05481, 57.67423,45.375
205, 4.04067, 56.86430,45.598
206, 4.03060, 56.29465,45.766
207, 4.01675, 55.52052,46.022
208, 4.00595, 54.92383,46.165
209, 3.99192, 54.15895,46.399
210, 3.98234, 53.64249,46.523
211, 3.96954, 52.95993,46.777
212, 3.95679, 52.28910,46.987
213, 3.94370, 51.60896,47.164
214, 3.93274, 51.04644,47.391
215, 3.91974, 50.38749,47.571
216, 3.91008, 49.90271,47.693
217, 3.89593, 49.20171,47.982
218, 3.88306, 48.57248,48.109
219, 3.87135, 48.00726,48.339
220, 3.85972, 47.45190,48.527
221, 3.84920, 46.95544,48.661
222, 3.83701, 46.38655,48.894
223, 3.82570, 45.86497,49.005
224, 3.81493, 45.37364,49.155
225, 3.80085, 44.73909,49.443
226, 3.78976, 44.24580,49.621
227, 3.77724, 43.69511,49.823
228, 3.76695, 43.24798,49.953
229, 3.75323, 42.65859,50.147
230, 3.74125, 42.15076,50.339
231, 3.73096, 41.71931,50.502
232, 3.71833, 41.19539,50.718
233, 3.70672, 40.72009,50.899
234, 3.69546, 40.26418,51.081
235, 3.68385, 39.79919,51.303
236, 3.67157, 39.31377,51.533
237, 3.66077, 38.89122,51.741
238, 3.64700, 38.35934,51.939
239, 3.63521, 37.90994,52.133
240, 3.62404, 37.48867,52.368
241, 3.61228, 37.05059,52.578
242, 3.59970, 36.58723,52.738
243, 3.58667, 36.11366,52.998
244, 3.57694, 35.76377,53.102
245, 3.56490, 35.33587,53.342
246, 3.55213, 34.88767,53.578
247, 3.53887, 34.42786,53.759
248, 3.52759, 34.04167,54.024
249, 3.51451, 33.59942,54.250
250, 3.50330, 33.22488,54.407
251, 3.49044, 32.80043,54.700
252, 3.47823, 32.40230,54.870
253, 3.46532, 31.98671,55.057
254, 3.45428, 31.63545,55.303
255, 3.44224, 31.25676,55.469
256, 3.43136, 30.91856,55.702
257, 3.41628, 30.45604,55.999
258, 3.40498, 30.11362,56.237
259, 3.39093, 29.69365,56.433
260, 3.38116, 29.40495,56.598
261, 3.36813, 29.02418,56.867
262, 3.35610, 28.67727,57.046
263, 3.34350, 28.31797,57.323
264, 3.33169, 27.98566,57.515
265, 3.31778, 27.59900,57.872
266, 3.30655, 27.29083,58.061
267, 3.29284, 26.91915,58.311
268, 3.28136, 26.61188,58.488
269, 3.26995, 26.30997,58.718
270, 3.25441, 25.90431,59.038
271, 3.24496, 25.66079,59.204
272, 3.23106, 25.30646,59.470
273, 3.22108, 25.05518,59.663
274, 3.20602, 24.68065,59.970
275, 3.19494, 24.40873,60.102
276, 3.18333, 24.12685,60.405
277, 3.17020, 23.81213,60.657
278, 3.15804, 23.52451,60.880
279, 3.14381, 23.19208,61.193
280, 3.13398, 22.96517,61.398
281, 3.11970, 22.63957,61.593
282, 3.10939, 22.40737,61.848
283, 3.09717, 22.13521,62.046
284, 3.08238, 21.81032,62.351
285, 3.07073, 21.55756,62.586
286, 3.05831, 21.29148,62.853
287, 3.04556, 21.02175,63.090
288, 3.03226, 20.74399,63.357
289, 3.02239, 20.54023,63.547
290, 3.00852, 20.25748,63.817
291, 2.99790, 20.04343,64.038
292, 2.98397, 19.76620,64.324
293, 2.97239, 19.53851,64.506
294, 2.96154, 19.32769,64.740
295, 2.94732, 19.05481,65.002
296, 2.93595, 18.83938,65.223
297, 2.92437, 18.62255,65.440
298, 2.91370, 18.42492,65.655
299, 2.89808, 18.13923,65.998
300, 2.88704, 17.94018,66.192
301, 2.87547, 17.73382,66.412
302, 2.86473, 17.54425,66.590
303, 2.85262, 17.33312,66.841
304, 2.83872, 17.09388,67.102
305, 2.82764, 16.90552,67.301
306, 2.81580, 16.70658,67.526
307, 2.80435, 16.51627,67.800
308, 2.79577, 16.37530,67.908
309, 2.78290, 16.16591,68.159
310, 2.77163, 15.98459,68.405
311, 2.75933, 15.78926,68.607
312, 2.74934, 15.63238,68.830
313, 2.73667, 15.43556,69.052
314, 2.72358, 15.23477,69.372
315, 2.71541, 15.11086,69.482
316, 2.70267, 14.91947,69.767
317, 2.69270, 14.77148,69.944
318, 2.67992, 14.58390,70.186
319, 2.66963, 14.43466,70.346
320, 2.65850, 14.27487,70.621
321, 2.64938, 14.14526,70.754
322, 2.63574, 13.95367,71.018
323, 2.62502, 13.80487,71.211
324, 2.61550, 13.67405,71.345
325, 2.60192, 13.48962,71.672
326, 2.59427, 13.38681,71.831
327, 2.58332, 13.24107,71.988
328, 2.57333, 13.10937,72.251
329, 2.56098, 12.94852,72.526
330, 2.54855, 12.78851,72.675
331, 2.53948, 12.67310,72.842
332, 2.52974, 12.55020,73.122
333, 2.51825, 12.40687,73.347
334, 2.50996, 12.30448,73.426
335, 2.49835, 12.16237,73.720
336, 2.48998, 12.06099,73.890
337, 2.47721, 11.90797,74.176
338, 2.46810, 11.79999,74.367
339, 2.45840, 11.68609,74.522
340, 2.44765, 11.56112,74.730
341, 2.43824, 11.45285,74.875
342, 2.42989, 11.35760,75.026
343, 2.41957, 11.24104,75.273
344, 2.40784, 11.10997,75.572
345, 2.40089, 11.03299,75.629
346, 2.39164, 10.93136,75.843
347, 2.37993, 10.80409,76.108
348, 2.37092, 10.70721,76.313
349, 2.35969, 10.58764,76.515
350, 2.35145, 10.50083,76.665
351, 2.34002, 10.38146,76.923
352, 2.33145, 10.29287,77.047
353, 2.32416, 10.21809,77.225
354, 2.31179, 10.09244,77.507
355, 2.30422, 10.01635,77.634
356, 2.29690, 9.94327,77.721
357, 2.28852, 9.86036,77.944
358, 2.27636, 9.74113,78.273
359, 2.26886, 9.66837,78.351
360, 2.25868, 9.57046,78.586
361, 2.25293, 9.51556,78.705
362, 2.24068, 9.39972,79.008
363, 2.23398, 9.33698,79.121
364, 2.22616, 9.26422,79.270
365, 2.21685, 9.17836,79.460
366, 2.20798, 9.09734,79.650
367, 2.19842, 9.01074,79.858
368, 2.19023, 8.93726,80.000
369, 2.18198, 8.86380,80.224
370, 2.17348, 8.78884,80.404
371, 2.16496, 8.71427,80.564
372, 2.15574, 8.63425,80.750
373, 2.14819, 8.56930,80.881
374, 2.14033, 8.50227,81.078
375, 2.13041, 8.41833,81.320
376, 2.12403, 8.36479,81.399
377, 2.11550, 8.29375,81.596
378, 2.10854, 8.23621,81.774
379, 2.10039, 8.16934,81.904
380, 2.09022, 8.08667,82.170
381, 2.08577, 8.05082,82.203
382, 2.07439, 7.95971,82.488
383, 2.06712, 7.90201,82.596
384, 2.05972, 7.84377,82.818
385, 2.05308, 7.79183,82.974
386, 2.04629, 7.73916,83.066
387, 2.03724, 7.66942,83.260
388, 2.03086, 7.62067,83.400
389, 2.02291, 7.56026,83.597
390, 2.01416, 7.49444,83.825
391, 2.00893, 7.45531,83.868
392, 2.00035, 7.39163,84.104
393, 1.99331, 7.33979,84.198
394, 1.98441, 7.27474,84.436
395, 1.97777, 7.22664,84.556
396, 1.97221, 7.18651,84.728
397, 1.96547, 7.13828,84.864
398, 1.95632, 7.07326,85.055
399, 1.94986, 7.02768,85.162
